Order_ID,Customer_Name,Age,Gender,Country,Product,Category,Quantity,Price,Order_Date,Payment_Method,Rating
1001,John Smith,25,Male,USA,Laptop,Electronics,1,800,2024-01-12,Card,4
1002,Emma Watson,29,Female,UK,Phone,Electronics,2,500,2024-01-15,UPI,5
1003,Michael Lee,,Male,Canada,Tablet,Electronics,1,300,2024/01/17,Cash,3
1004,Sophia Brown,45,Female,USA,Headphones,Accessories,3,,2024-01-20,Card,4
1005,David Miller,33,Male,India,Laptop,Electronics,1,850,20-01-2024,UPI,5
1006,Olivia Davis,29,Female,India,Mouse,Accessories,2,25,2024-01-25,Card,
1006,Olivia Davis,29,Female,India,Mouse,Accessories,2,25,2024-01-25,Card,
1007,James Wilson,150,Male,USA,Keyboard,Accessories,1,45,2024-01-28,Cash,2
1008,Ava Taylor,27,Female,UK,Monitor,Electronics,1,220,2024-02-01,Card,4
1009,Noah Thomas,31,Male,Canada,Laptop,Electronics,1,900,2024-02-03,UPI,5
